ids,notes,author,ref,artist,title,description,literature,text
[],,,30,Edward Dayes 1763–1804,"Magdalen College and Bridge, Oxford, from the River, 1794","Watercolour over indications in graphite
on paper
30 x 44.6 cm
Signed and dated: Edwd. Dayes / 1794
Deposited by the Delegates of the Oxford
University Press, 1850
WA1850.46","Literature: Petter (1974) pp. 80–1;
Brown (1982) no. 510; Smith (2002) no. 4","The Oxford Almanack has been produced annually since 1674 as the official calendar of the University of Oxford. The earliest examples were grand allegorical engravings on the lines of Continental thesis prints. Later they included views of individual colleges or university buildings with portraits of founders or benefactors, but it was not until the 1760s that they took their most characteristic, and current, form. The Oxford violinist and drawing master John ‘Baptist’ Malchair (1730–1812) provided two landscapes which were reproduced as the headpieces in 1767 and 1768. Since then the Oxford Almanacks have included a picturesque view at the top of the sheet, and the calendar, with lists of University officials, beneath. Malchair was followed by Edward and Michael ‘Angelo’ Rooker, who made a long series from 1769 to 1788, and a few by local artists. In 1794–5 Edward Dayes was commissioned to make six views, for which he was paid 40 guineas. Apart from the accounts, there is no evidence as to how the Delegates of the Clarendon (later University) Press chose the artists for the Almanacks.

Although he came to specialise in watercolours of topographical and architectural subjects, Dayes had studied with a portrait painter and at the Royal Academy Schools; he always maintained that landscape painters should have a thorough training in drawing the human figure. By the early 1790s he had established his reputation as a painter of topographical watercolours, and was employed by the antiquary James Moore, to work up his sketches of views in Scotland.

Dayes’s watercolours for the Oxford Almanack were all based on pencil sketches made on a visit in July 1794. This view of Magdalen College and Bridge was reproduced as the Oxford Almanack for 1797. It shows the banks of the River Cherwell in front of Magdalen Bridge, the most splendid and formal of all the bridges in Oxford, begun as a consequence of the Mileways Act of 1771 but not completed until 1790. Beyond is the distinctive late Gothic form of Magdalen Tower, one of the most famous landmarks in Oxford, and the first notable building for travellers approaching the city from the east. On the horizon are the spire of the University Church of St Mary the Virgin and the dome of the Radcliffe Camera, while an elegant group of cows gives the scene an essentially bucolic quality. In the foreground a man in mortarboard and gown converses with two fishermen who, from their dress, might be wealthy undergraduates, attended by a dog. CH"
WA1916.11,"1. See for example, Brown (1982) no. 836.

2. The watercolour was sold at Christie’s 17 November 2005, lot 47.

3. Smith (2002) nos. 52–5.

4. Wilton (1979) no. 249.

5. 1747; collection of the Duke of Northumberland; Beddington (2006) no. 24.

6. Wilton (1979) no. 58.",CH,31,Edward Dayes 1763–1804,"Durham Cathedral seen through an Arch of Ralph Flambard’s Bridge, 1797","Watercolour over indications in graphite
on paper
10.7 x 16.2 cm
Verso inscribed: Durham Cathedral seen through
an arch of the Old Bridge with the Prebends or
New Bridge in the Distance
Presented in memory of Percy G. F. Allen,
Assistant Keeper in the Ashmolean
Museum (1914–5), 1916
WA1916.11",Literature: Brown (1982) no. 515,"Durham Cathedral and Castle both occupy a dominant position high above a bend in the River Wear. In the seventeenth and eighteenth centuries they were depicted in numerous antiquarian engravings, but it was not until the 1780s that they attracted the attention of artists in search of the Picturesque. Among the first of these was Thomas Hearne (1744–1817), who made lively watercolours of the monuments and bridges of Durham in the 1780s.1 He was followed by Edward Dayes, whose views influenced those of his pupil, Thomas Girtin, and his rival, J. M. W. Turner. Dayes seems to have visited Durham in the early 1790s, when he made a sketch of the cathedral with the western tower swathed in scaffolding. He later worked this up into a finished watercolour, published in the Copper Plate Magazine on 1 February 1796.2 Girtin made a copy of Dayes’s watercolour in 1795, and a sketch of the same view on his own tour to Durham in 1796; the latter formed the basis for two further watercolours by Girtin, one of which is dated 1799.3 They all show the cathedral and castle looming high over the Prebends’ Bridge. Less sublime, but no less conventional, was Turner’s watercolour based on sketches from his tour of the north of England in 1797.4

For this later watercolour, Dayes adopted a completely original viewpoint: the cathedral is seen through an arch of the Framwellgate Bridge. One of three bridges crossing the Wear, this was originally built by Ranulf Flambard, Bishop of Durham, in 1120, shortly after he had ordered the completion of the cathedral itself. Flambard’s bridge was swept away in a flood in 1400, and reconstructed according to the present design under Bishop Langley. Dayes shows the cathedral’s western tower still covered in scaffolding, minutely depicted in pencil, while the bridge is painted in much broader, flatter areas of dark watercolour. The sun sets behind, with a lone figure on the bridge itself, while two men in a boat hurry home as a fresh wind whips up the water. The composition is indebted to Canaletto’s extraordinary painting of The City of London seen through an Arch of Westminster Bridge, a work made popular by Richard Parr’s engraving, published in 1747.5

As well as the watercolours he commissioned after his own copies, James Moore bought independent watercolours of antiquarian subjects from his artists. He acquired one of Turner’s most poetic views of Tintern Abbey, probably after it was shown at the Royal Academy in 1795.6 Moore also purchased this dreamily evocative view of Durham by Dayes, for which he paid one guinea on 21 February 1798. CH"
[],,,32,Joseph Mallord William Turner 1775–1851,"Inside View of the Hall of Christ Church, Oxford, 1803–4","Watercolour over graphite on paper,
with some scratching out
32.9 x 44.8 cm
Deposited by the Delegates of the Oxford
University Press, 1850
WA1850.55","Literature: Herrmann (1968) no. 7;
Petter (1974) pp. 83–4; Wilton (1979)
no. 301; Harrison (2000) pp. 69–71","One of Turner’s most prestigious early commissions was for a pair of watercolours, to be reproduced as the headpiece for the Oxford Almanack in 1797–8. He was paid 20 guineas for both, the same rate as his friend Edward Dayes, who may have recommended his services to the Delegates of the Press. Turner was, in any case, a familiar figure in Oxford – he had relations at Suningwell, to the south of the city – and may have known at least one of the Delegates personally, Dr Cyril Jackson. He was also an obvious choice as artist, having been trained as an architectural draughtsman with Thomas Malton, who later produced a series of rather dry aquatint views of the colleges. For his first watercolours, and no doubt with an eye to receiving further commissions, Turner produced two contrasting compositions, a distant view of Christ Church from the Meadows (fig.33), and a strongly architectural view of the chapel and hall of Oriel College (reproduced in 1799 and 1801 respectively). On the strength of these watercolours, Turner was given a further commission for another watercolour in 1801 and seven more in 1804.

The hall at Christ Church is the most splendid of any Oxford or Cambridge college, and the only part of Wolsey’s foundation that still reflects the magnitude of his ambitious building scheme. It was completed shortly before his downfall in 1529, and measures 115 by 40 feet, and 50 feet high. The windows are original, including the bold bay window lighting the high table on its dais. The portraits hanging against the wainscotting show eminent old members of Christ Church surrounding the second founder, Henry VIII; they were at the time considered the most important collection in Oxford. The only surviving study for any of the Almanack drawings is a pencil sketch for this watercolour (Tate), which has indications of perspective together with measurements and colour notes. It also includes details of individual bosses with coats of arms round the walls, shorthand indications of the different styles of picture frames, and the tables laid for dinner. The emphatic scratching out of the picture frames and roof bosses is unusual, and may have been done to assist the engraver. However, the Delegates were not satisfied and in May 1806 they ordered Hugh O’Neill to ‘correct’ some parts of Turner’s watercolour. Nevertheless, the published Almanack for 1807 does correspond in most respects to Turner’s original. CH

Fig. 33 | James Basire (1730–1802) after J. M. W. Turner (1775–1851), South View of Christ Church, & c., from the Meadows: Oxford Almanack for 1799. Engraving. Ashmolean Museum, Oxford, WA.L.55.29"
WA1931.8,"1. Possibly one of two paintings exhibited with the Norwich Society of Artists in 1809 under the title An Old House, Norwich.

2. Binyon (1933) p. 191.",KW,33,John Sell Cotman 1782–1842,"A Ruined House, c. 1807–10","Watercolour over graphite on paper
32.7 x 26.1 cm
Presented by Sir Michael Sadler in memory
of Lady Sadler, through The Art Fund, 1931
WA1931.8",Literature: Kitson (1937) p. 112,"The Norwich Society of Artists was founded in 1803, while Cotman was attempting to establish his career in London. Initially employed by the publisher Rudolph Ackermann, Cotman was also involved in both Dr Thomas Monro’s Academy and the Sketching Society formed by Girtin. Having successfully exhibited at the Royal Academy, he failed to gain membership of the Society of Painters in Watercolours and returned to his native Norwich in 1806. Persistently ambitious, he quickly secured his place beside John Crome as a leading member of the city’s Society of Artists, being elected Vice President in 1810 and as President the following year.

Before he embarked on the series of antiquarian etching projects that dominated his work from 1810 to 1822 Cotman produced a number of oil paintings. This watercolour is a study for a work now in the Yale Center for British Art.1 Ruins are a recurrent motif in Cotman’s work, from dramatic castles and abbeys to modest examples of vernacular architecture. Here, however, the decaying house is treated in restrained terms rather than in a picturesque fashion focusing on elaborate textural minutiae. Cotman’s evident delight in abstract pattern-making is emphasised by the small graphite plan of the subject in the lower left corner, and enhanced by careful understated details, such as the separate lateral strokes for the exposed bricks echoing the disintegrating roof slats. Delicately handled untinted areas give the impression of brilliant sunshine, off-set by the dense darkness of the building’s interior. The close, low viewpoint lends the dilapidated dwelling a bold monumentality, an effect that is slightly reduced in the finished painting.

Cotman’s aspirations as an oil painter were largely frustrated by his duties as a drawing master mainly in Norfolk, but from 1834 as a master at King’s College, London, where among his pupils was the young Dante Gabriel Rossetti. The full recognition of Cotman’s achievement, particularly as a watercolourist, would come only in the twentieth century. He was then lauded by artists such as Paul Nash, Eric Ravilious, and John Piper in their search for a recognisably British tradition that could be reconciled with developments in modern European painting. Cotman was increasingly co-opted to represent this synthesis, with Laurence Binyon even claiming in his survey English Water- colours (1933) that ‘there was no need to invoke Cézanne, for Cotman was there to show the way’.2 KW"
WA1923.4,"1. Moore (1982) p. 60.

2. Ibid.",KW,34,John Sell Cotman 1782–1842,"The Tower of West Walton Church, Norfolk, c. 1812","Watercolour over graphite on paper
34.4 x 25 cm
Inscribed: 5
Presented by A. E. Anderson through
The Art Fund, 1923
WA1923.4",,"Cotman was still at work on his Miscellaneous Etchings (1811), dominated by sites encountered during his travels in Yorkshire between 1803–5, when he wrote to Dawson Turner on 2 February 1811 seeking his advice on his proposed project to etch ‘all Ornamented Antiquities in Norfolk’.1 Turner, a noted local banker, botanist, and antiquary, first met Cotman in 1804 and became a committed, if perhaps restrictive, patron. Cotman again sought Turner’s advice, regarding the itinerary for his autumn sketching tour of Norfolk, on 25 August, the day after the conclusion of the 1811 Norwich Society of Artists exhibition.

Mid-September found the artist in the north-west of the county. During this time he made studies of West Walton Church, a fine example of Early English Gothic architecture, upon which the present watercolour is based. This served in turn for an etching, originally published in 1814 and later in A Series of Etchings Illustrative of the Architectural Antiquities of Norfolk (1818).

An advertisement in the Norwich Chronicle signalled Cotman’s dual intentions for his forthcoming etchings: ‘Although it will be the principal object of the Author to exhibit faithfully the Styles of the various Structures, yet he will not be inattentive to the Selection of the most favourable points of view; being persuaded it will be the wish of his subscribers to see architectural fidelity combined with picturesque effect.’2 The etching is notably more picturesque in appearance than the watercolour, with the rough grass and tottering gate in the foreground. In fact, some of these details appear in the graphite underdrawing of the watercolour, but are obscured by the deep shadow falling across the base of the tower. Rather than being a topographical observation, this device, favoured by the formidable eighteenth-century draughtsman Giovanni Battista Piranesi, enhances the drama of the composition. Cotman held Piranesi’s work in high esteem, and early in 1812 he encouraged Dawson Turner to purchase the Italian’s complete etchings, being unable to afford them himself.

After some prevarication, Cotman moved to Yarmouth in April 1812 under Turner’s patronage, for £200 per year, succeeding John Crome as the family’s drawing master. Turner’s own antiquarian interests, including his Grangerisation of an edition of Blomefield’s History of Norfolk (1805–10), dominated Cotman’s work for the next decade – in part accounting for his delay in completing the 60 etchings for Antiquities of Norfolk. Despite lacking a chronological scheme or touring narrative the etchings were sufficiently well received to secure Cotman a commission for Longman’s Excursions as the main contributor of illustrations for the volumes on Norfolk and Suffolk (1818–9). KW"
[],,,35,David Cox 1783–1859,"Fishermen on the Thames looking towards Westminster and Lambeth, 1823","Watercolour over graphite on paper
25 x 36.2 cm
Signed and dated: Cox 1823
Lent from a private collection
LI2224.2",,"Born in Birmingham, Cox moved to London in 1804 and initially specialised in watercolour, first exhibiting at the Royal Academy in 1805. He quickly became a stalwart of the Society of Painters in Watercolours, which he joined in 1812, having earlier shown at the rival Associated Artists in Watercolours. Between 1813 and 1819 he published a series of drawing manuals which enjoyed great success among amateurs and aspiring professionals, the most notable being his Treatise on Landscape Painting and Effect in Water Colours (1813–4). Like many of his contemporaries Cox made several tours of Wales, providing illustrations to Thomas Roscoe’s Wanderings and Excursions in North Wales (1836) and the companion volume on South Wales (1837); and of the Midlands, the Lake District, the north of England, and the Low Countries (1826) and France (1829, 1832). As his style developed, he accepted the challenge of oil painting in the late 1830s.

Although Cox lived in Hereford from 1814 until 1827, teaching privately and at the local grammar school, he remained closely in touch with the Watercolour Society in London. This charming view is an outstandingly fresh example of the kind of work he exhibited in the 1820s. He had shown views of the Thames at his earliest exhibitions with the Associated Artists, but they later became something of a speciality, and he produced a particular concentration in 1823 and 1824. This watercolour may be the Fishing Boat on the Thames exhibited in 1823. In part, these must have been painted in the hope of sales. Since the Middle Ages the Thames has been associated with English national pride, and after the victory of Waterloo collectors were eager to reaffirm the significance of this symbol. More importantly, however, the low horizon and wide panorama perfectly suited Cox’s talent. Here, two colourfully dressed men sit in a boat, one rowing and the other looking after a fishing net. On the horizon can be seen the massive form of Westminster Abbey and the arches of the old bridge, while the ghost-like dome of St Paul’s Cathedral looms in the far distance. There is a great deal of activity on the banks, a reminder of the river’s economic as well as symbolic importance. CH"
WA1943.4,"1. Somerset House Gazette, quoted in Lockett (1985) p. 65.",KW,36,Samuel Prout 1783–1852,"A View in Strasbourg, 1822","Watercolour and pen and ink on paper
62.1 x 47.7 cm
Inscribed: HANDLUNG / VON / S. PROUT /
Commerce de Jean Dichl / no. 65
Presented by William Vautier Paterson,
through The Art Fund, 1943
WA1943.4.26","Literature: Wilton and Lyles (1993)
no. 233","Despite persistent ill health, Prout pursued a successful career as a draughtsman and watercolourist. The author of several manuals on drawing and an influential teacher, he counted members of the aristocracy, the artist J. D. Harding and John Ruskin among his pupils, with the latter becoming his most committed advocate. Prout was a contributor to numerous publications of picturesque scenery, as well as a pioneering exponent of lithography.

Appointed as Painter in Ordinary in Water-Colours to Queen Victoria in 1837, Prout’s reputation rested on his work of the 1820s. During this decade he made several trips to the Continent, which provided him with novel motifs in astute competition with the picturesque views of the British Isles that by this date had become somewhat hackneyed. ‘We had begun to tire,’ William Henry Pyne remarked ‘of the endless repetitions of Tintern Abbey from within, and Tintern Abbey from without, and the same by moonlight, and twilight, and every other light in which taste and talent could compose variations to the worn- out theme.’1

Prout first visited Strasbourg from 12 to 19 September 1821 as part of an extensive trip down the Rhine. His itinerary, recorded in his surviving Goldsmith’s Almanack, shows that Strasbourg, along with Cologne, was the only city in which he remained for more than two days. This view shows the Rue Mercière looking towards the west front of Strasbourg Cathedral. The composition allows the cathedral to appear gracefully in the background while affording Prout the opportunity to delineate abundant local detail in the foreground, worked up in characteristic broken lines with a reed pen and brown ink. Shadows placed across the buildings create a receding rhythm of light and dark, culminating in the ethereal grey tones of the magnificent north tower. Ruskin’s admiration for Prout was based in part upon his accurate record of dilapidated structures that would subsequently be destroyed, such as the water fountain in the foreground. Here, however, the artist ignores the distinctive pink hue of the Vosges sandstone with which the cathedral was renovated following a devastating fire in 1176.

Exhibited at the Old Water-Colour Society in 1822, along with three other views of Strasbourg, this watercolour probably fetched 35 guineas, the highest price for a work by Prout recorded on that occasion. It did not feature in his Illustrations of the Rhine (1824), but, slightly adapted, served as the basis of a lithograph for Facsimiles of Sketches made in Flanders and Germany, published by the artist in 1833. It was the purchase of this volume by Ruskin’s father that inspired the first of his family’s Continental tours. KW"
WA2002.21,"1. Patrick Conner, ‘Chinnery, George (1774– 1852)’, Oxford Dictionary of National Biography online edn. (2007) http://www.oxforddnb.com/ view/article/5311, accessed 6 January 2015.

2. See, for example, Sunset, Rhode Island School of Design Museum, 73.204.6; and Bengal Landscape with the Ruins of a Mosque, Christie’s 26 September 2007, lot 415, showing a man in the same white clothes with a blue sash.

3. Quoted in Conner (1993) p. 138.

4. British Library, WD3385.",CP,37,George Chinnery 1774–1852,"Ruins in Bengal, 1820–5","Pen and grey ink and watercolour and
bodycolour over graphite, on off-white
wove paper, on buff-coloured inlay with
red framing line
15.2 x 19.9 cm
Signed and dated on the verso: Geo Chinnery.
F. / Macao China 1826.
Presented by Professor Luke Herrmann
from the collection of Sir Bruce Ingram,
through The Art Fund, 2002
WA2002.21",,"A colourful character, known as a great raconteur and as ‘one of the ugliest men in existence’, Chinnery trained at the Royal Academy Schools in the early 1790s. He won success as a painter in Ireland from 1796, before following his brother John, an employee of the East India Company, to Madras in 1802. Chinnery moved on to Calcutta in 1812, where he established himself as a portrait painter, though he preferred landscape ‘a thousand times better’.1

Despite the inscription on the verso locating the scene to Macau, this watercolour must have been painted in Bengal. It is related to a number of Bengali scenes in which the fallen dome of a Muslim mausoleum lies amid crumbling stonework, sometimes accompanied by figures bathing on the banks of a river.2 Chinnery left for China in July 1825, in an attempt to escape substantial debts in Calcutta.

Rather than depicting a spectacular view of foreign scenery, the scene is one of restful contemplation. Towards the left, however, a sharp dash of bright red catches the eye, drawing attention to the fallen dome in the shadows. The red indicates a small fire from which smoke rises, drifting across the scene. Chinnery was particularly fond of using blue-grey smoke to lighten the more obscure corners of his compositions, which he preferred to be at least two-thirds in shadow – the ‘great Engine of Effect’, as he described it.3 In an album entitled ‘Scenery in Bengal 1825’, once belonging to Lady Harriet Paget, he inscribed an evening landscape drawing: ‘Smoke in air in the dark parts would be beautiful’ (fol. 18).4

The Paget album includes about 50 sketches mostly dating to 1821, when Chinnery travelled up the Hoogli (Hooghly) river to Serampore to evade his creditors. One drawing depicts a riverside village with ruined tombs (fol. 7, September 1821), while another shows a Muslim mausoleum beside a banyan tree, with a seated figure, goat and cow in the foreground (fol. 5). Chinnery no doubt used such carefully observed sketches as reference material from which to construct his imaginary compositions.

Although exotic in its setting, the watercolour is closely related to the Picturesque tradition that dominated English art when Chinnery first trained in London, notably in the diverse textures of the brick and plaster, the invading vegetation and the rickety palmleaf shelter. The precisely laid wash to the right of the wall, leaving the finest strip of light beneath a cloud, is balanced by a similar strip of light on the fallen stonework bottom left, demonstrating Chinnery’s masterful handling of the medium. CP"
WA1963.89,"1. Redgrave (1947) p. 406.

2. Quoted in Sim (1984) p. 61.

3. Quoted in Sim (1984) p. 70.

4. Guiterman and Llewellyn (1986) p. 65.",CP,38,David Roberts 1796–1864,"The Puerta de Alcalá, Madrid, 1832–3","Watercolour over graphite on brown paper
26.9 x 38.8 cm
Inscribed: Gate of Alcalá. Madrid
Purchased (Virtue-Tebbs Bequest Fund),
1963
WA1963.89.72",,"Balancing precision with facility, this view of the Puerta de Alcalá in Madrid – a monumental gateway designed by the neo-classical architect Francesco Sabatini in 1778 – exemplifies the art of the Scottish watercolourist David Roberts. According to the Redgrave brothers, Roberts was an ‘essentially scenic’ artist-topographer whose architectural views conveyed ‘the splendour and magnificence of his structures, by simplicity … of parts, by breadth of daylight, and by enriching his subjects with groups of accessories’.1

Roberts rose from humble beginnings to gain success as a scene-painter – a background evident in the speed of his execution and direct appeal to the eye. The imposing backdrop of the gate resembles a theatre in itself, with the figures spilling out on to the ‘stage’ to enliven the scene. Roberts has used a ruler in drawing the architecture, but there is extraordinary freedom in his application of paint, which leaves large areas of the paper exposed. Scattered touches of colour draw the eye to key points of focus: two dabs of green are placed either side of the main arch, for example, with another in the cape of a figure directly below the centre. The blue of the sky is picked up in foreground figures to left and right of centre, while red notes link the group on the far right to figures under each curved arch.

This view was published as a lithograph in Picturesque Sketches in Spain (1837, plate XVIII). Here the splashes of colour take on the clear forms of travelling farmers with ox-drawn carts, and groups of priests. The gate marked the passage of a cañada real (a designated royal route for migrating livestock), so flocks of sheep were regularly driven through the Puerta.

Before Roberts, few artists had travelled to Spain, described by fellow artist David Wilkie as ‘the wild unpoached game reserve of Europe’.2 An advertisement for Sketches of Spain and Spanish Character (1833–4) by his friend J. F. Lewis appears in the back of Roberts’s volume, indicating one painter who had preceded him. Otherwise it was largely Wilkie who inspired Roberts to set off for Madrid – and perhaps the Murillos and Velázquezs recently acquired by Wallis (see cat. 26).

He arrived in the city in December 1832, braving its piercing winds for three weeks before travelling south to Córdoba. Roberts relished the purity of Madrid’s fog-free air, as can be seen from the brilliant clarity of this watercolour. Returning ‘laden … like the bees with honey’ in the form of a packed portfolio, Roberts transformed his studies into paintings for exhibition and illustrations for the Landscape Annuals (1835–8).3 His Picturesque Sketches, which sold 1,200 sets in two months, was frequently reprinted, and brought him considerable recognition, as well as praise from Cotman.4 CP"
WA2002.24,"1. WA1942.154

2. British Museum, 1948,0410.131.

3. Selborne (2011) p. 78.

4. British Museum, 1867,1214.275, originally described as F. C. Lewis after J. F. Lewis.

5. See British Museum, 1948,0410.124 for a Spanish woman wearing similar gloves.

6. London Journal, 13 May 1835, no. 59, p. 152.",CP,39,John Frederick Lewis 1804–1876,"Head of a Girl in a Lace Shawl, 1838","Red and black chalk and Indian ink with
watercolour and bodycolour on buff board
37.1 x 26.3 cm
Signed and dated: J. F. Lewis / 1838
Presented by Professor Luke Herrmann
from the collection of Sir Bruce Ingram,
through The Art Fund, 2002
WA2002.24",Literature: Lewis (1978) no. 289,"Renowned as one of the foremost Orientalist painters, Lewis began his travels in Spain and Italy before venturing further afield to Egypt in search of more exotic subject matter. Previously exhibited as a Spanish Girl in a Mantilla, this exquisite study is more likely, according to Briony Llewellyn, to have been made in Italy, where Lewis is known to have been travelling in 1838. A watercolour in the Ashmolean of a Girl in Neapolitan Native Dress, dated 29 August 1838 and inscribed ‘Procida’, the name of an island off the coast of Naples, would seem to support this theory. It shows a model with a very similar profile and expression, also with her eyes demurely downcast.1

Typical of Lewis is the interest shown in the intricate scalloped patterns of the heavy folded lace. It has been suggested that the black veil may represent mourning dress, though such veils were frequently worn as head-coverings in the Catholic churches of both Spain and Italy, symbolising modesty and submission to authority. They are especially characteristic of the Holy Week festivities in Seville. Plate 13 of Lewis’s Sketches of Spain and Spanish Character (1836) shows a somewhat less modest young girl gazing yearningly upwards, wearing just such a mantilla over a traditional hair-comb (peineta).2 As Lewis tended to collect costumes on his travels, it is possible that he provided his model with a Spanish lace shawl he owned, rather than representing an Italian version.3

A print in the British Museum now attributed to Lewis also shows a woman in profile wearing a scalloped black lace hair-covering, though she is looking upwards.4 The fact that the print is in reverse implies that it could have been adapted from the drawing, but the print does not include the model’s folded hands, apparently wearing fingerless lace gloves.5 The drawing is far more sensitively drawn than the print, with delicate touches of red chalk in the hands, nostril and lips, and fine long eyelashes. Although this could be an idealised Mediterranean beauty, created by Lewis for avid readers of the Annuals, it certainly has the sense of a carefully observed portrait taken from life.

Reviewing the annual exhibition by the Society of Painters in Watercolours in 1835, Leigh Hunt’s London Journal remarked ‘J. F. Lewis gives us several scenes from Spain in his smart and lively style; but why does he for ever drag in that demure young lady with a black veil over her head?’.6 Clearly the reviewer’s comments did not deter Lewis from repeating this favourite subject. CP"
WA2003.196,"1. Quoted in Bryant (2004) p. 43.

2. Bryant (2004) p. 40.

3. Quoted in Gaja (1995) p. 20.

4. Private collection; for a list of those executed and those surviving, see Gaja (1995) pp. 116–17.",CH,40,George Frederic Watts 1817–1904,"Lady Holland, c. 1843–5","Graphite on off-white paper
20 x 14.5 cm
Purchased (Hope Fund) with the assistance
of The Art Fund, 2003
WA2003.196",Literature: Bryant (2004) no. 5,"Lady Mary Augusta (1812–1889) was the daughter of the 8th Earl of Coventry and his wife, Lady Mary Beauclerk, daughter of the 6th Duke of St Albans. She married Henry Fox (1802–1859) in 1833, and accompanied him on diplomatic postings to Vienna and Frankfurt. He served as Minister Plenipotentiary to the Court of the Grand Duke of Tuscany from 1839 to 1846, and succeeded as 4th Lord Holland in 1840. Lady Holland was largely brought up on the Continent and notoriously unconventional; she rode side-saddle, for example, long before it became fashionable. Noted for her tiny stature and small feet, she was described by one contemporary as ‘under three feet in height, the very nicest little doll or plaything I ever saw’.1

Watts met the Hollands on 3 October 1843, having travelled to Florence to study fresco as one of the winners of a competition to decorate the Houses of Parliament. He soon went to stay with them at the Casa Feroni (now the Palazzo Amerighi) for a few days, and remained for three years. Lord Holland described him as ‘full of genius and favourable ambition, without any of the jealous, niggling, detracting vanity of his brother artists’.2 In addition to formal portraits of Lord and Lady Holland and a number of other notable personages in Florence, both local and visiting, Watts painted several informal portraits of his hostess. For a time, they were clearly very intimate. However, by May 1845 she was worried about propriety, and confessed to her husband that she had ‘a strong and determined wish to break the spell, and make him feel that he is ever a welcome guest but not a constant and necessary intimate’.3 Her husband agreed.

During this period of intimacy Watts also made a number of pencil portraits, showing Lady Holland reclining on a day bed or sewing with her feet up. This drawing is the most suggestive of the series; Lady Holland looks out rather coyly, her dress décolleté to the point of provocation. It was clearly a very private and cherished portrait, for the sitter exceptionally had it framed in a silver-mounted folding frame on her return to London. The other pencil portraits made at the Casa Feroni, which constitute the only works by an English artist comparable to Ingres’s portrait drawings of British Grand Tourists in Rome, were uniformly framed and displayed in an ante-room at the top of the grand staircase at Holland House. Among them are Florentine grandees of the Corsini, Bentivoglio, and Aldobrandini families, the cosmopolitan Lady Dover, as well as Mme de Flahault, Edward Cheney, and the Marquess of Normanby. Unfortunately, most are now in ruinous condition.4 CH"
WA1954.53,"1. Illustrated London News, 18 March 1843, supplement, p. 197.

2. Cunningham (1843) III, pp. 330–67.

3. Cunningham (1843) III, p. 341.",CP,41,Sir David Wilkie 1785–1841,"Portrait of Sotiri, Dragoman of Mr Colquhoun, 1840","Watercolour and bodycolour with some oil,
over red and black chalk on buff paper
47.5 x 32.7cm
Purchased, 1954
WA1954.53",Literature: Brown (1985) no. 61,"Like Lewis and Roberts, Wilkie was drawn to the Near East in search of unusual subjects to paint – in particular hoping to discover more historically authentic details and scenery for the illustration of biblical narratives, or ‘Scripture subjects’. Setting out in August 1840 and travelling via Cologne, Munich and Vienna, he reached Constantinople in October 1840, but was delayed there by the war over Syria between the Turks and Egyptians. The Turks eventually triumphed with British assistance, but Syria remained closed to travellers, and Wilkie reached Jerusalem only in February 1841.

This enforced break gave Wilkie an opportunity to make several portraits while staying in the suburb of Pera (now Beyoğlu). According to Allan Cunningham, he made 53 drawings in Constantinople and six in Pera itself. Here we see Sotiri, an Albanian interpreter and guide in the service of Robert Colquhoun, British Consul-General at Bucharest. The female figure on the left is Wilkie’s ‘beautiful and accomplished’ landlady in the European quarter of Pera, Madame Giuseppina. The young boy on the right is the son of Mustapha, janissary (or bodyguard) of John Cartwright, the Consul-General in Constantinople.1 Wilkie notes in his journal that he dined with Cartwright on the evening this drawing was begun; Cartwright was frequently hospitable during Wilkie’s stay, offering him Christmas dinner and sitting to him on numerous occasions in connection with a drawing for Mr Woodburn.2 In the background can be seen the suburbs of the city, looking out over the ‘Petits Champs des Morts’, or Pera cemetery.

While Wilkie takes great painterly delight in improvising straight onto the paper the pure white draperies of Madame Giuseppina, he is clearly intent on recording the exact details of the more exotic accoutrements of the scene – perhaps intended for future compositions in oils: the gold embroidery on the red tunics, the rich blue of the fez tassels, the elaborate hookah pipe, and table in the foreground. Wilkie’s studies remained preparatory works only, however, as his return trip ended with his sudden death off Malta. He was buried at sea in June 1841.

This watercolour was lithographed in Joseph Nash’s edition of Wilkie’s Sketches in Turkey, Syria and Egypt, 1840 and 1841 (1843). Nash adds further detail to the table, the woman’s hand, and to the child on the left, lending it a winsome smirk. In Nash’s print the expression of the boy with the hookah becomes resolutely sullen, supporting Cunningham’s opinion of the sitters as ‘grave and suspicious’. In Wilkie’s original, by contrast, they all have more kindly or open expressions.3 CP"
